File,Line,URL,Link Text,Type,Status,Issue Type,HTTP Status,Relevance Score,Suggested Action,Repair Available,Suggested URL,Repair Confidence,Notes
2024-10-22-ai-edge-computing.md,304,https://coral.ai/docs/edgetpu/intro/,Google Edge TPU Documentation,documentation,broken,not_found,404,,,No,,,
2024-10-22-ai-edge-computing.md,304,https://coral.ai/docs/edgetpu/intro/),,documentation,broken,not_found,404,,,No,,,
2024-10-22-ai-edge-computing.md,305,https://aws.amazon.com/greengrass/,AWS IoT Greengrass,documentation,valid,,200,,,No,,,
2024-10-22-ai-edge-computing.md,305,https://aws.amazon.com/greengrass/),,documentation,broken,not_found,404,,,No,,,
2024-10-22-ai-edge-computing.md,306,https://azure.microsoft.com/en-us/services/iot-edge/,Azure IoT Edge,documentation,broken,not_found,404,,,Yes,https://web.archive.org/web/20220924011324/https://azure.microsoft.com/en-us/services/iot-edge/,70,Historical snapshot - content may be outdated
2024-10-22-ai-edge-computing.md,306,https://azure.microsoft.com/en-us/services/iot-edge/),,documentation,broken,not_found,404,,,No,,,
2024-10-22-ai-edge-computing.md,310,https://www.tensorflow.org/lite,TensorFlow Lite,inline,valid,,200,,,No,,,
2024-10-22-ai-edge-computing.md,310,https://www.nvidia.com/en-us/edge-computing/,NVIDIA's Edge Computing resources,inline,valid,,200,,,No,,,
2024-10-22-ai-edge-computing.md,310,https://www.tensorflow.org/lite),,inline,broken,not_found,404,,,No,,,
2024-10-22-ai-edge-computing.md,310,https://www.nvidia.com/en-us/edge-computing/),,inline,broken,not_found,404,,,No,,,
2025-02-10-automating-home-network-security.md,34,https://images.unsplash.com/photo-1555949963-ff9fe0c870eb?w=1920&q=80,Digital security concept with code and lock symbols,inline,valid,,200,,,No,,,
2025-02-10-automating-home-network-security.md,34,https://images.unsplash.com/photo-1555949963-ff9fe0c870eb?w=1920&q=80),,inline,valid,,200,,,No,,,
2025-02-10-automating-home-network-security.md,255,https://www.nist.gov/cyberframework,NIST Cybersecurity Framework,news,valid,,200,,,No,,,
2025-02-10-automating-home-network-security.md,255,https://www.nist.gov/cyberframework),,news,broken,not_found,404,,,No,,,
2025-02-10-automating-home-network-security.md,256,https://owasp.org/www-project-top-ten/,OWASP Top 10,news,valid,,200,,,No,,,
2025-02-10-automating-home-network-security.md,256,https://owasp.org/www-project-top-ten/),,news,broken,not_found,404,,,No,,,
2025-02-10-automating-home-network-security.md,257,https://www.cloudflare.com/learning/,Cloudflare Learning Center,inline,degraded,http_403,403,,,No,,,
2025-02-10-automating-home-network-security.md,257,https://www.cloudflare.com/learning/),,inline,degraded,http_403,403,,,No,,,
2025-02-10-automating-home-network-security.md,258,https://www.rfc-editor.org/,RFC Editor,inline,valid,,200,,,No,,,
2025-02-10-automating-home-network-security.md,258,https://www.rfc-editor.org/),,inline,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,33,https://arxiv.org/abs/2302.14172,recent research by Jacobs et al. (2023),citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,33,"https://arxiv.org/abs/2302.14172),",,citation,broken,not_found,404,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,42,https://www.first.org/epss/,Exploit Prediction Scoring System (EPSS),citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,42,https://www.first.org/epss/),,citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,44,https://arxiv.org/abs/2506.01220,Research from Shimizu & Hashimoto (2025),citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,44,https://arxiv.org/abs/2506.01220),,citation,broken,not_found,404,,,Yes,http://arxiv.org/api/6kHJ+RWik6vW0s5w75L88LEVBLY,85,Open access version available on arXiv
2025-09-20-vulnerability-prioritization-epss-kev.md,58,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,Known Exploited Vulnerabilities (KEV) catalog,citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,58,https://www.cisa.gov/known-exploited-vulnerabilities-catalog),,citation,broken,not_found,404,,,Yes,https://doi.org/10.5194/egusphere-egu22-4316,90,Permanent DOI link
2025-09-20-vulnerability-prioritization-epss-kev.md,60,https://arxiv.org/abs/2411.02618,Analysis by Parla (2024),citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,60,https://arxiv.org/abs/2411.02618),,citation,broken,not_found,404,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,90,https://services.nvd.nist.gov/rest/json/cves/2.0,,documentation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,91,https://api.first.org/data/v1/epss,,documentation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,92,https://www.cisa.gov/sites/default/files/feeds/known_exploited_vulnerabilities.json,,documentation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,111,https://arxiv.org/abs/2508.13644,research by Koscinski et al. (2025),citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,111,https://arxiv.org/abs/2508.13644),,citation,broken,not_found,404,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,190,https://www.first.org/epss/articles/prob_percentile_bins,EPSS documentation,documentation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,190,https://www.first.org/epss/articles/prob_percentile_bins),,news,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,232,https://arxiv.org/abs/2302.14172,Enhancing Vulnerability Prioritization: Data-Driven Exploit Predictions with Community-Driven Insights,citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,232,https://arxiv.org/abs/2302.14172)**,,citation,broken,not_found,404,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,236,https://arxiv.org/abs/2506.01220,Vulnerability Management Chaining: An Integrated Framework for Efficient Cybersecurity Risk Prioritization,citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,236,https://arxiv.org/abs/2506.01220)**,,citation,broken,not_found,404,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,240,https://arxiv.org/abs/2411.02618,Efficacy of EPSS in High Severity CVEs found in KEV,citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,240,https://arxiv.org/abs/2411.02618)**,,citation,broken,not_found,404,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,244,https://arxiv.org/abs/2508.13644,"Conflicting Scores, Confusing Signals: An Empirical Study of Vulnerability Scoring Systems",citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,244,https://arxiv.org/abs/2508.13644)**,,citation,broken,not_found,404,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,248,https://www.first.org/epss/,EPSS: Exploit Prediction Scoring System,citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,248,https://www.first.org/epss/)**,,citation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,252,https://www.cisa.gov/known-exploited-vulnerabilities-catalog,CISA Known Exploited Vulnerabilities Catalog,documentation,valid,,200,,,No,,,
2025-09-20-vulnerability-prioritization-epss-kev.md,252,https://www.cisa.gov/known-exploited-vulnerabilities-catalog)**,,documentation,broken,not_found,404,,,No,,,
2024-02-22-open-source-vs-proprietary-llms.md,220,https://opensource.org/licenses/,Open Source Licenses,inline,valid,,200,,,No,,,
2024-02-22-open-source-vs-proprietary-llms.md,220,https://opensource.org/licenses/),,inline,valid,,200,,,No,,,
2024-02-22-open-source-vs-proprietary-llms.md,221,https://www.technologyreview.com/2023/05/04/1072679/large-language-models-open-source-extended-version/,The open-source language model revolution,inline,broken,not_found,404,,,No,,,
2024-02-22-open-source-vs-proprietary-llms.md,221,https://www.technologyreview.com/2023/05/04/1072679/large-language-models-open-source-extended-version/),,inline,broken,not_found,404,,,No,,,
2024-02-22-open-source-vs-proprietary-llms.md,222,https://venturebeat.com/ai/the-enterprise-verdict-on-ai-models-why-open-source-will-win/,Open-Source vs. Proprietary: Which Large Language Model Is Right for You?,inline,degraded,http_429,429,,,No,,,
2024-02-22-open-source-vs-proprietary-llms.md,222,https://venturebeat.com/ai/the-enterprise-verdict-on-ai-models-why-open-source-will-win/),,inline,degraded,http_429,429,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,32,https://www.iotsecurityfoundation.org/best-practice-guidelines/,research from the IoT Security Foundation (2024),citation,valid,,200,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,32,https://owasp.org/www-project-internet-of-things/,OWASP IoT Top 10 (2018),resource,valid,,200,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,32,"https://www.iotsecurityfoundation.org/best-practice-guidelines/),",,documentation,valid,,200,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,32,https://owasp.org/www-project-internet-of-things/),,resource,broken,not_found,404,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,34,https://github.com/OWASP/IoTGoat,OWASP IoTGoat,citation,valid,,200,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,34,https://github.com/OWASP/IoTGoat)—a,,citation,broken,not_found,404,,,Yes,https://doi.org/10.1201/9781003054115-11,90,Permanent DOI link
2025-09-20-iot-security-homelab-owasp.md,59,https://link.springer.com/chapter/10.1007/978-3-031-25460-4_14,security research by Allodi & Campobasso (2023),citation,valid,,200,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,59,"https://link.springer.com/chapter/10.1007/978-3-031-25460-4_14),",,citation,broken,not_found,404,,,Yes,https://doi.org/10.1007/978-3-031-25460-4_14),95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,83,https://github.com/OWASP/IoTGoat.git,,resource,valid,,200,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,105,https://doi.org/10.1109/TDSC.2023.3247569,Research by Zhang et al. (2023),citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/TDSC.2023.3247569,95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,105,https://doi.org/10.1109/TDSC.2023.3247569),,citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/TDSC.2023.3247569),95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,141,https://doi.org/10.1109/ACCESS.2024.3381234,analysis by Nirmal et al. (2024),citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/ACCESS.2024.3381234,95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,141,https://doi.org/10.1109/ACCESS.2024.3381234),,citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/ACCESS.2024.3381234),95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,180,https://github.com/OWASP/IoT-Security-Verification-Standard-ISVS,OWASP IoT Security Verification Standard,citation,valid,,200,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,180,"https://github.com/OWASP/IoT-Security-Verification-Standard-ISVS),",,citation,broken,not_found,404,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,198,https://doi.org/10.1145/3538969.3543815,Studies show,citation,degraded,http_403,403,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,198,https://doi.org/10.1145/3538969.3543815),,citation,broken,not_found,404,,,Yes,https://doi.org/10.1145/3538969.3543815),95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,246,https://raw.githubusercontent.com/example/iot-blocklist/main/list.txt,,inline,broken,not_found,404,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,280,https://doi.org/10.1109/COMST.2023.3325398,Recent research by Meneghello et al. (2023),citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/COMST.2023.3325398,95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,280,https://doi.org/10.1109/COMST.2023.3325398),,citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/COMST.2023.3325398),95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,357,https://owasp.org/www-project-internet-of-things/,OWASP Internet of Things Project,documentation,valid,,200,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,357,https://owasp.org/www-project-internet-of-things/)**,,documentation,broken,not_found,404,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,361,https://www.iotsecurityfoundation.org/best-practice-guidelines/,IoT Security Foundation Best Practice Guidelines,documentation,valid,,200,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,361,https://www.iotsecurityfoundation.org/best-practice-guidelines/)**,,documentation,broken,not_found,404,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,365,https://link.springer.com/chapter/10.1007/978-3-031-25460-4_14,Security Analysis of IoT Devices Using Testbeds,citation,valid,,200,,,No,,,
2025-09-20-iot-security-homelab-owasp.md,365,https://link.springer.com/chapter/10.1007/978-3-031-25460-4_14)**,,citation,broken,not_found,404,,,Yes,https://doi.org/10.1007/978-3-031-25460-4_14),95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,369,https://doi.org/10.1109/TDSC.2023.3247569,Firmware Security Analysis of IoT Devices,citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/TDSC.2023.3247569,95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,369,https://doi.org/10.1109/TDSC.2023.3247569)**,,citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/TDSC.2023.3247569),95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,373,https://doi.org/10.1109/ACCESS.2024.3381234,MQTT Security: A Comprehensive Survey,citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/ACCESS.2024.3381234,95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,373,https://doi.org/10.1109/ACCESS.2024.3381234)**,,citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/ACCESS.2024.3381234),95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,377,https://doi.org/10.1109/COMST.2023.3325398,IoT Security: Ongoing Challenges and Research Opportunities,citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/COMST.2023.3325398,95,Permanent DOI resolution
2025-09-20-iot-security-homelab-owasp.md,377,https://doi.org/10.1109/COMST.2023.3325398)**,,citation,broken,not_found,404,,,Yes,https://doi.org/10.1109/COMST.2023.3325398),95,Permanent DOI resolution
2025-07-08-implementing-dns-over-https-home-networks.md,120,https://cloudflare-dns.com/dns-query,,inline,degraded,http_415,415,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,127,https://dns.google/dns-query,,inline,degraded,http_400,400,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,136,https://github.com/cloudflare/cloudflared/releases/latest/download/cloudflared-linux-amd64.deb,,resource,valid,,200,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,151,https://cloudflare-dns.com/dns-query,,inline,degraded,http_415,415,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,152,https://dns.google/dns-query,,inline,degraded,http_400,400,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,203,https://install.pi-hole.net,,resource,degraded,http_405,405,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,206,https://github.com/cloudflare/cloudflared/releases/latest/download/cloudflared-linux-arm64,,resource,valid,,200,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,235,https://cloudflare-dns.com/dns-query,,inline,degraded,http_415,415,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,238,https://cloudflare-dns.com/dns-query,,inline,degraded,http_415,415,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,241,https://dnsleaktest.com,,inline,degraded,http_405,405,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,347,https://1.1.1.1/dns-query,,inline,degraded,http_415,415,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,348,https://1.0.0.1/dns-query,,inline,degraded,http_415,415,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,349,https://dns.quad9.net/dns-query,,inline,degraded,http_400,400,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,386,https://local-doh.home.arpa/dns-query,,inline,error,connection_error,,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,388,https://dns.google/dns-query,,inline,degraded,http_400,400,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,390,https://cloudflare-dns.com/dns-query,,inline,degraded,http_415,415,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,432,https://www.nist.gov/cyberframework,NIST Cybersecurity Framework,news,valid,,200,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,432,https://www.nist.gov/cyberframework),,news,broken,not_found,404,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,433,https://owasp.org/www-project-top-ten/,OWASP Top 10,news,valid,,200,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,433,https://owasp.org/www-project-top-ten/),,news,broken,not_found,404,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,434,https://www.cloudflare.com/learning/,Cloudflare Learning Center,inline,degraded,http_403,403,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,434,https://www.cloudflare.com/learning/),,inline,degraded,http_403,403,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,435,https://www.rfc-editor.org/,RFC Editor,inline,valid,,200,,,No,,,
2025-07-08-implementing-dns-over-https-home-networks.md,435,https://www.rfc-editor.org/),,inline,valid,,200,,,No,,,
2024-07-24-multimodal-foundation-models.md,314,https://arxiv.org/abs/2204.14198,Flamingo: a Visual Language Model for Few-Shot Learning,citation,valid,,200,,,No,,,
2024-07-24-multimodal-foundation-models.md,314,https://arxiv.org/abs/2204.14198),,citation,broken,not_found,404,,,No,,,
2024-07-24-multimodal-foundation-models.md,315,https://arxiv.org/abs/2304.08485,LLaVA: Large Language and Vision Assistant,citation,valid,,200,,,No,,,
2024-07-24-multimodal-foundation-models.md,315,https://arxiv.org/abs/2304.08485),,citation,broken,not_found,404,,,No,,,
2024-07-24-multimodal-foundation-models.md,316,https://openai.com/research/gpt-4v-system-card,GPT-4V(ision) System Card,citation,degraded,http_403,403,,,No,,,
2024-07-24-multimodal-foundation-models.md,316,https://openai.com/research/gpt-4v-system-card),,citation,degraded,http_403,403,,,No,,,
2024-07-24-multimodal-foundation-models.md,317,https://arxiv.org/abs/2309.10020,Multimodal Foundation Models: From Specialists to General-Purpose Assistants,citation,valid,,200,,,No,,,
2024-07-24-multimodal-foundation-models.md,317,https://arxiv.org/abs/2309.10020),,citation,broken,not_found,404,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,422,https://dl.acm.org/doi/abs/10.1145/3609510.3609822,Understanding the Security of Linux eBPF Subsystem,citation,degraded,http_403,403,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,422,https://dl.acm.org/doi/abs/10.1145/3609510.3609822)**,,citation,degraded,http_403,403,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,426,https://www.sstic.org/media/SSTIC2021/SSTIC-actes/runtime_security_with_ebpf/SSTIC2021-Article-runtime_security_with_ebpf-fournier_afchain_baubeau.pdf,Runtime Security Monitoring with eBPF,citation,valid,,200,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,426,https://www.sstic.org/media/SSTIC2021/SSTIC-actes/runtime_security_with_ebpf/SSTIC2021-Article-runtime_security_with_ebpf-fournier_afchain_baubeau.pdf)**,,citation,broken,not_found,404,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,430,https://orbilu.uni.lu/handle/10993/43564,The Rise of eBPF for Non-Intrusive Performance Monitoring,citation,error,connection_error,,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,430,https://orbilu.uni.lu/handle/10993/43564)**,,citation,error,connection_error,,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,434,https://ieeexplore.ieee.org/abstract/document/9665095/,Efficient Network Monitoring Applications in the Kernel with eBPF and XDP,citation,degraded,http_418,418,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,434,https://ieeexplore.ieee.org/abstract/document/9665095/)**,,citation,degraded,http_418,418,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,438,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10798587&AN=164642663,Container Instrumentation and Enforcement System for Runtime Security of Kubernetes Platform with eBPF,citation,valid,,200,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,438,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10798587&AN=164642663)**,,citation,valid,,200,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,454,https://ebpf.io/,eBPF Documentation,documentation,valid,,200,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,454,https://ebpf.io/),,documentation,broken,not_found,404,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,455,https://www.kernel.org/doc/html/latest/bpf/,Linux Kernel eBPF Documentation,documentation,valid,,200,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,455,https://www.kernel.org/doc/html/latest/bpf/),,documentation,broken,not_found,404,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,456,https://landscape.cncf.io/card-mode?category=ebpf&grouping=category,CNCF eBPF Landscape,documentation,valid,,200,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,456,https://landscape.cncf.io/card-mode?category=ebpf&grouping=category),,documentation,valid,,200,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,472,https://ebpf.io,eBPF.io,citation,valid,,200,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,472,https://ebpf.io),,citation,error,connection_error,,,,Yes,http://arxiv.org/api/bRCS/I7Dn1UsbdxVHvuMfv/VUaU,85,Open access version available on arXiv
2025-07-01-ebpf-security-monitoring-practical-guide.md,473,https://falco.org,Falco,citation,valid,,200,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,473,https://falco.org),,citation,error,connection_error,,,,Yes,http://arxiv.org/api/bRCS/I7Dn1UsbdxVHvuMfv/VUaU,85,Open access version available on arXiv
2025-07-01-ebpf-security-monitoring-practical-guide.md,475,https://github.com/iovisor/bcc,BCC Tools,citation,valid,,200,,,No,,,
2025-07-01-ebpf-security-monitoring-practical-guide.md,475,https://github.com/iovisor/bcc),,citation,broken,not_found,404,,,Yes,http://arxiv.org/api/bRCS/I7Dn1UsbdxVHvuMfv/VUaU,85,Open access version available on arXiv
2024-08-02-quantum-computing-leap-forward.md,29,https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=1920&q=80,Quantum computing visualization,inline,valid,,200,,,No,,,
2024-08-02-quantum-computing-leap-forward.md,29,https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=1920&q=80),,inline,valid,,200,,,No,,,
2024-08-02-quantum-computing-leap-forward.md,326,https://quantum-network.org/,IBM Quantum Network,citation,degraded,http_405,405,,,No,,,
2024-08-02-quantum-computing-leap-forward.md,326,https://quantum-network.org/),,citation,degraded,http_405,405,,,No,,,
2024-08-02-quantum-computing-leap-forward.md,327,https://azure.microsoft.com/en-us/products/quantum,Microsoft Quantum Development Kit,citation,valid,,200,,,No,,,
2024-08-02-quantum-computing-leap-forward.md,327,https://azure.microsoft.com/en-us/products/quantum),,citation,broken,not_found,404,,,No,,,
2024-08-02-quantum-computing-leap-forward.md,328,https://csrc.nist.gov/projects/post-quantum-cryptography,NIST Post-Quantum Cryptography,citation,valid,,200,,,No,,,
2024-08-02-quantum-computing-leap-forward.md,328,https://csrc.nist.gov/projects/post-quantum-cryptography),,citation,broken,not_found,404,,,No,,,
2024-08-02-quantum-computing-leap-forward.md,329,https://www.springer.com/gp/book/9783030239213,Quantum Computing: An Applied Approach,citation,valid,,200,,,No,,,
2024-08-02-quantum-computing-leap-forward.md,329,https://www.springer.com/gp/book/9783030239213),,citation,broken,not_found,404,,,No,,,
2024-03-05-cloud-migration-journey-guide.md,187,https://cloud.google.com/learn/what-is-cloud-migration,What is cloud migration?,inline,broken,not_found,404,,,No,,,
2024-03-05-cloud-migration-journey-guide.md,187,https://cloud.google.com/learn/what-is-cloud-migration),,inline,broken,not_found,404,,,No,,,
2024-03-05-cloud-migration-journey-guide.md,188,https://d1.awsstatic.com/Migration/migrating-to-aws-ebook.pdf,"Best Practices for Planning, Executing, and Monitoring AWS Cloud Migrations",inline,valid,,200,,,No,,,
2024-03-05-cloud-migration-journey-guide.md,188,https://d1.awsstatic.com/Migration/migrating-to-aws-ebook.pdf),,inline,degraded,http_403,403,,,No,,,
2024-03-05-cloud-migration-journey-guide.md,189,https://azure.microsoft.com/en-us/resources/cloud-migration-best-practices/,Top Cloud Migration Best Practices,inline,broken,not_found,404,,,No,,,
