post,quality_score,length,length_compliant,has_primary_keyword,primary_keyword,is_unique,has_action_verb,issues,current_description,recommendation
2024-09-19-biomimetic-robotics.md,60,150,True,False,learning nature:,True,False,"Missing primary keyword: 'learning nature:'; No action verb (Implement, Build, Secure, etc.)","How nature's 3.8 billion years of R&D inspires robot design, from gecko feet to swarm intelligence, exploring biomimetic principles in modern robotics","Learning Nature:: How nature's 3.8 billion years of R&D inspires robot design, from gecko feet to swarm intelligence, exploring biomimetic principles in mo"
2024-09-25-gvisor-container-sandboxing-security.md,35,169,False,False,sandboxing untrusted,True,True,"Too long (169 chars, maximum 160); Missing primary keyword: 'sandboxing untrusted'","Deploying gVisor for application-level container sandboxing in my homelab K3s cluster, protecting against kernel exploits while managing the 15-30% performance overhead.","Explore sandboxing untrusted with practical examples, implementation guide, and security considerations"
2024-10-03-quantum-computing-defense.md,60,150,True,False,quantum computing,True,False,"Missing primary keyword: 'quantum computing'; No action verb (Implement, Build, Secure, etc.)",Quantum computers will break current encryption within years. Here's how I'm preparing with post-quantum cryptography and quantum-resistant algorithms,Quantum Computing: Quantum computers will break current encryption within years. Here's how I'm preparing with post-quantum cryptography and quantum-resist
2024-10-10-blockchain-beyond-cryptocurrency.md,70,142,True,False,blockchain beyond,True,True,Missing primary keyword: 'blockchain beyond',Running Ethereum nodes on my homelab taught me blockchain is about building trust without central authorities. Here's what works (and doesn't),Blockchain Beyond: Running Ethereum nodes on my homelab taught me blockchain is about building trust without central authorities. Here's what works (and do
2024-10-22-ai-edge-computing.md,70,147,True,False,ai meets,True,True,Missing primary keyword: 'ai meets',"How AI and edge computing create responsive, private systems that process data locally, revolutionizing autonomous vehicles and smart manufacturing","Ai Meets: How AI and edge computing create responsive, private systems that process data locally, revolutionizing autonomous vehicles and smart manufacturi"
2024-11-05-pizza-calculator.md,70,147,True,False,pizza calculator:,True,True,Missing primary keyword: 'pizza calculator:',"How quantifying pizza provisioning enhances team performance during high-pressure development, combining resource planning and behavioral economics","Pizza Calculator:: How quantifying pizza provisioning enhances team performance during high-pressure development, combining resource planning and behaviora"
2024-11-15-gpu-power-monitoring-homelab-ml.md,100,143,True,True,gpu power,True,True,,"Monitoring GPU power consumption during ML training with NVIDIA SMI, custom dashboards, and optimization strategies to reduce electricity costs","Monitoring GPU power consumption during ML training with NVIDIA SMI, custom dashboards, and optimization strategies to reduce electricity costs"
2024-11-19-llms-smart-contract-vulnerability.md,70,145,True,False,large language,True,True,Missing primary keyword: 'large language',Can LLMs detect smart contract vulnerabilities? Testing GPT-4 and Claude against known exploits with surprising results and security implications,Large Language: Can LLMs detect smart contract vulnerabilities? Testing GPT-4 and Claude against known exploits with surprising results and security implic
2024-12-03-context-windows-llms.md,90,147,True,True,context windows,True,False,"No action verb (Implement, Build, Secure, etc.)","From 2K to 2M tokens, how expanding context windows transform LLMs from chatbots to reasoning engines, with practical implications for applications","From 2K to 2M tokens, how expanding context windows transform LLMs from chatbots to reasoning engines, with practical implications for applications"
2025-01-12-privacy-preserving-federated-learning-homelab.md,50,159,False,False,privacy-preserving ai,True,False,"Length 159 chars (reduce to 130-155 for optimal CTR); Missing primary keyword: 'privacy-preserving ai'; No action verb (Implement, Build, Secure, etc.)",Training image classifiers across 4 devices (Dell R940 + 3 Raspberry Pis) without sharing raw data. Granular-ball segmentation reduced network transfer by 82%.,"Explore privacy-preserving ai with practical examples, implementation guide, and security considerations"
2025-01-22-llm-agent-homelab-incident-response.md,35,165,False,False,built ai,True,True,"Too long (165 chars, maximum 160); Missing primary keyword: 'built ai'","Automated homelab incident response with an LLM agent, reduced diagnosis time from 30 minutes to 5 minutes by auto-correlating Prometheus, Loki, and Tempo telemetry.","Explore built ai with practical examples, implementation guide, and security considerations"
2025-02-10-automating-home-network-security.md,70,145,True,False,automating home,True,True,Missing primary keyword: 'automating home',"Automation scripts and tools I built to keep my home network secure, including Ansible playbooks, Python monitors, and automated patching systems","Automating Home: Automation scripts and tools I built to keep my home network secure, including Ansible playbooks, Python monitors, and automated patching "
2025-02-24-continuous-learning-cybersecurity.md,60,155,True,False,continuous learning,True,False,"Missing primary keyword: 'continuous learning'; No action verb (Implement, Build, Secure, etc.)","How I stay current in a field that changes daily. Practical strategies including lab exercises, research tracking, and community engagement without burnout","Continuous Learning: How I stay current in a field that changes daily. Practical strategies including lab exercises, research tracking, and community engag"
2025-03-10-raspberry-pi-security-projects.md,100,153,True,True,raspberry pi,True,True,,"From network monitoring to physical security, practical Raspberry Pi security projects like Pi-hole, VPN gateway, and honeypots without breaking the bank","From network monitoring to physical security, practical Raspberry Pi security projects like Pi-hole, VPN gateway, and honeypots without breaking the bank"
2025-03-24-from-it-support-to-senior-infosec-engineer.md,60,159,False,False,support senior,True,True,Length 159 chars (reduce to 130-155 for optimal CTR); Missing primary keyword: 'support senior',"The winding path from fixing printers to securing federal systems over 10 years. Lessons learned, mistakes made, and advice for aspiring security professionals","Explore support senior with practical examples, implementation guide, and security considerations"
2025-04-10-securing-personal-ai-experiments.md,70,148,True,False,securing personal,True,True,Missing primary keyword: 'securing personal',"Lessons from running LLMs and AI experiments at home while keeping data secure, covering model isolation, network segmentation, and privacy controls","Securing Personal: Lessons from running LLMs and AI experiments at home while keeping data secure, covering model isolation, network segmentation, and priv"
2025-04-24-building-secure-homelab-adventure.md,70,150,True,False,building security-focused,True,True,Missing primary keyword: 'building security-focused',"How I built a comprehensive security lab at home for learning and experimentation. Covering Proxmox, VLANs, IDS/IPS, and keeping my family's data safe","Building Security-Focused: How I built a comprehensive security lab at home for learning and experimentation. Covering Proxmox, VLANs, IDS/IPS, and keeping"
2025-05-10-llm-fine-tuning-homelab-guide.md,60,140,True,False,fine-tuning llms,True,False,"Missing primary keyword: 'fine-tuning llms'; No action verb (Implement, Build, Secure, etc.)","Complete guide to fine-tuning open-source LLMs on homelab hardware using QLoRA, covering dataset prep, training optimization, and evaluation","Fine-Tuning Llms: Complete guide to fine-tuning open-source LLMs on homelab hardware using QLoRA, covering dataset prep, training optimization, and evaluat"
2025-06-25-local-llm-deployment-privacy-first.md,70,152,True,False,local llm,True,True,Missing primary keyword: 'local llm',"Complete guide to running LLMs locally for privacy: hardware requirements, model selection, optimization techniques, and practical deployment strategies","Local Llm: Complete guide to running LLMs locally for privacy: hardware requirements, model selection, optimization techniques, and practical deployment st"
2025-07-01-ebpf-security-monitoring-practical-guide.md,70,150,True,False,ebpf security,True,True,Missing primary keyword: 'ebpf security',"Using eBPF for real-time Linux security monitoring. Syscall tracking, network observability, and production-ready patterns for kernel-level visibility","Ebpf Security: Using eBPF for real-time Linux security monitoring. Syscall tracking, network observability, and production-ready patterns for kernel-level "
2025-07-08-implementing-dns-over-https-home-networks.md,60,158,False,False,implementing dns-over-https,True,True,Length 158 chars (reduce to 130-155 for optimal CTR); Missing primary keyword: 'implementing dns-over-https',"Complete guide to deploying DNS-over-HTTPS on home networks for privacy and security, covering Pi-hole, dnscrypt-proxy, and multiple implementation approaches","Explore implementing dns-over-https with practical examples, implementation guide, and security considerations"
2025-07-15-vulnerability-management-scale-open-source.md,100,153,True,True,vulnerability management,True,True,,"Build an enterprise-grade vulnerability management program using only open source tools. From scanning to remediation tracking, here's how to do it right","Build an enterprise-grade vulnerability management program using only open source tools. From scanning to remediation tracking, here's how to do it right"
2025-07-22-supercharging-claude-cli-with-standards.md,60,154,True,False,exploring claude,True,False,"Missing primary keyword: 'exploring claude'; No action verb (Implement, Build, Secure, etc.)",How I built a standards repository that transforms Claude CLI into a context-aware development powerhouse with 90% token reduction and workflow automation,Exploring Claude: How I built a standards repository that transforms Claude CLI into a context-aware development powerhouse with 90% token reduction and wo
2025-07-29-building-mcp-standards-server.md,60,152,True,False,down mcp,True,False,"Missing primary keyword: 'down mcp'; No action verb (Implement, Build, Secure, etc.)","The ongoing saga of turning my standards repo into an MCP server for Claude. Spoiler: It's working mostly, and I've only rewritten it three times so far","Down Mcp: The ongoing saga of turning my standards repo into an MCP server for Claude. Spoiler: It's working mostly, and I've only rewritten it three times"
2025-08-07-supercharging-development-claude-flow.md,70,147,True,False,supercharging development,True,True,Missing primary keyword: 'supercharging development',Claude-Flow orchestrates AI agent swarms for development with 84.8% SWE-Bench solve rate and neural learning. Here's my experience building with it,Supercharging Development: Claude-Flow orchestrates AI agent swarms for development with 84.8% SWE-Bench solve rate and neural learning. Here's my experien
2025-08-09-ai-cognitive-infrastructure.md,60,140,True,False,ai cognitive,True,False,"Missing primary keyword: 'ai cognitive'; No action verb (Implement, Build, Secure, etc.)","AI is evolving from tools into cognitive infrastructure that shapes how billions think, yet we understand little about its long-term effects","Ai Cognitive: AI is evolving from tools into cognitive infrastructure that shapes how billions think, yet we understand little about its long-term effects"
2025-08-18-container-security-hardening-homelab.md,100,151,True,True,container security,True,True,,"Practical container security hardening techniques for Docker and K3s in a homelab environment, from base image selection to runtime security monitoring","Practical container security hardening techniques for Docker and K3s in a homelab environment, from base image selection to runtime security monitoring"
2025-08-25-network-traffic-analysis-suricata-homelab.md,60,151,True,False,building network,True,False,"Missing primary keyword: 'building network'; No action verb (Implement, Build, Secure, etc.)","Setting up Suricata IDS/IPS on homelab for real-time network threat detection. Rule management, performance tuning, and integrating with security stack","Building Network: Setting up Suricata IDS/IPS on homelab for real-time network threat detection. Rule management, performance tuning, and integrating with "
2025-09-01-self-hosted-bitwarden-migration-guide.md,60,136,True,False,self-hosted password,True,False,"Missing primary keyword: 'self-hosted password'; No action verb (Implement, Build, Secure, etc.)","Migrating from cloud password managers to self-hosted Bitwarden: setup, security hardening, backup strategies, and why I made the switch","Self-Hosted Password: Migrating from cloud password managers to self-hosted Bitwarden: setup, security hardening, backup strategies, and why I made the swi"
2025-09-08-zero-trust-vlan-segmentation-homelab.md,70,135,True,False,implementing zero,True,True,Missing primary keyword: 'implementing zero',How I implemented zero trust principles using VLAN segmentation on my homelab - practical network security beyond simple firewall rules,Implementing Zero: How I implemented zero trust principles using VLAN segmentation on my homelab - practical network security beyond simple firewall rules
2025-09-14-threat-intelligence-mitre-attack-dashboard.md,70,154,True,False,building own,True,True,Missing primary keyword: 'building own',"Create a personal threat intelligence dashboard using MITRE ATT&CK framework, open-source feeds, and Python to track relevant threats to your environment.","Building Own: Create a personal threat intelligence dashboard using MITRE ATT&CK framework, open-source feeds, and Python to track relevant threats to your"
2025-09-20-iot-security-homelab-owasp.md,100,153,True,True,iot security,True,True,,"Explore IoT security vulnerabilities hands-on with OWASP IoTGoat. Testing firmware extraction, API exploitation, and building secure IoT lab environments","Explore IoT security vulnerabilities hands-on with OWASP IoTGoat. Testing firmware extraction, API exploitation, and building secure IoT lab environments"
2025-09-20-vulnerability-prioritization-epss-kev.md,60,139,True,False,building smart,True,False,"Missing primary keyword: 'building smart'; No action verb (Implement, Build, Secure, etc.)",Moving beyond CVSS scores to prioritize vulnerabilities using EPSS probability metrics and CISA KEV catalog for risk-based patch management,Building Smart: Moving beyond CVSS scores to prioritize vulnerabilities using EPSS probability metrics and CISA KEV catalog for risk-based patch management
2025-09-29-proxmox-high-availability-homelab.md,70,155,True,False,proxmox high,True,True,Missing primary keyword: 'proxmox high',"Building high-availability Proxmox clusters on homelab hardware. Shared storage, live migration, automated failover, and lessons from three failed attempts","Proxmox High: Building high-availability Proxmox clusters on homelab hardware. Shared storage, live migration, automated failover, and lessons from three f"
2025-10-06-automated-security-scanning-pipeline.md,100,142,True,True,automated security,True,True,,"Building automated security scanning pipelines with Grype, OSV, and Trivy. CI/CD integration, vulnerability tracking, and actionable reporting","Building automated security scanning pipelines with Grype, OSV, and Trivy. CI/CD integration, vulnerability tracking, and actionable reporting"
2025-10-13-embodied-ai-robots-physical-world.md,60,147,True,False,claude terminal,True,False,"Missing primary keyword: 'claude terminal'; No action verb (Implement, Build, Secure, etc.)","Vision-Language-Action models transform AI from code into physical robots, with practical implications for security, safety, and homelab automation","Claude Terminal: Vision-Language-Action models transform AI from code into physical robots, with practical implications for security, safety, and homelab a"
2025-10-17-progressive-context-loading-llm-workflows.md,70,150,True,False,150k 2k,True,True,Missing primary keyword: '150k 2k',Progressive skill loading achieves 98% token reduction in LLM workflows through modular context architecture. Lessons from building production systems,150K 2K: Progressive skill loading achieves 98% token reduction in LLM workflows through modular context architecture. Lessons from building production sys
2025-10-29-post-quantum-cryptography-homelab.md,70,153,True,False,preparing homelab,True,True,Missing primary keyword: 'preparing homelab',"Preparing my homelab for the quantum threat with NIST's post-quantum algorithms. CRYSTALS-Kyber, CRYSTALS-Dilithium, and practical implementation lessons","Preparing Homelab: Preparing my homelab for the quantum threat with NIST's post-quantum algorithms. CRYSTALS-Kyber, CRYSTALS-Dilithium, and practical imple"
2025-10-29-privacy-first-ai-lab-local-llms.md,35,195,False,False,building privacy-first,True,True,"Too long (195 chars, maximum 160); Missing primary keyword: 'building privacy-first'","My RTX 3090 runs Llama 3.1 70B locally, but 'local' doesn't automatically mean 'private.' After discovering unexpected network traffic from Ollama, I rebuilt my AI lab with real privacy controls.","Explore building privacy-first with practical examples, implementation guide, and security considerations"
welcome.md,70,150,True,False,building digital,True,True,Missing primary keyword: 'building digital',"Why I chose Eleventy for my personal site and the journey of building a fast, accessible, privacy-respecting digital home with modern web technologies","Building Digital: Why I chose Eleventy for my personal site and the journey of building a fast, accessible, privacy-respecting digital home with modern web"
